,sitecode,nodename,model,loopback_id,router_id,menagement_ip,node_type,region,vendor
3112,LKBPM,RAC_LKBPM21C,CISCO_ASR920CC,,,10.122.8.42,RAC,BKK,Cisco
3113,SSKWP,RAC_SSKWP21C,CISCO_ASR920CC,,,10.122.18.148,RAC,BKK,Cisco
3114,CKT2M,RAC_CKT2M21C,CISCO_ASR920CC,,,10.122.41.119,RAC,BKK,Cisco
3115,WMSGM,RAC_WMSGM21C,CISCO_ASR920CC,,,10.122.44.11,RAC,BKK,Cisco
3116,EXHLM,RAC_EXHLM21C,CISCO_ASR920CC,,,10.122.14.205,RAC,BKK,Cisco
3117,VRCDP,RAC_VRCDP21C,CISCO_ASR920CC,,,10.122.31.123,RAC,BKK,Cisco
3118,ONTBA,RAC_ONTBA21C,CISCO_ASR920CC,,,10.122.44.92,RAC,BKK,Cisco
3119,SPR6M,RAC_SPR6M21C,CISCO_ASR920CC,,,10.122.14.74,RAC,BKK,Cisco
3120,BLSNM,RAC_BLSNM51C,ciscoNCS540,Loopback0,10.64.2.112,10.124.209.112,RAC,BKK,Cisco
3121,RMALP,RAC_RMALP01C,CISCO_ASR901_TENGIG_DC_TDM,Loopback0,10.122.72.255,10.124.33.230,RAC,BKK,Cisco
3122,KOBOM,RAC_KOBOM51C,ciscoNCS540,Loopback0,10.64.4.81,10.124.211.81,RAC,BKK,Cisco
3123,PCHPM,RAC_PCHPM21C,CISCO_ASR920CC,,,10.122.27.44,RAC,BKK,Cisco
3124,LTK7P,RAC_LTK7P21C,CISCO_ASR920CC,,,10.122.35.187,RAC,BKK,Cisco
3125,HICDP,RAC_HICDP21C,CISCO_ASR920CC,,,10.122.33.20,RAC,BKK,Cisco
3126,BBHPP,RAC_BBHPP51C,ciscoNCS540,Loopback0,10.64.10.216,10.124.217.216,RAC,BKK,Cisco
3127,WTYRM,RAC_WTYRM21C,CISCO_ASR920CC,,,10.122.14.105,RAC,BKK,Cisco
3128,SWRIM,RAC_SWRIM21C,CISCO_ASR920CC,,,10.122.17.152,RAC,BKK,Cisco
3129,LK83M,RAC_LK83M21C,CISCO_ASR920CC,,,10.122.35.184,RAC,BKK,Cisco
3130,ON35M,RAC_ON35M21C,CISCO_ASR920CC,,,10.122.41.205,RAC,BKK,Cisco
3131,DLTCM,RAC_DLTCM21C,CISCO_ASR920CC,,,10.122.29.213,RAC,BKK,Cisco
3132,WRTPM,RAC_WRTPM21C,CISCO_ASR920CC,,,10.122.43.185,RAC,BKK,Cisco
3133,CSAMM,RAC_CSAMM21C,CISCO_ASR920CC,,,10.122.14.149,RAC,BKK,Cisco
3134,12BBM,RAC_12BBM21C,CISCO_ASR920CC,,,10.122.65.186,RAC,BKK,Cisco
3135,HLPTP,RAC_HLPTP21C,CISCO_ASR920CC,,,10.122.14.201,RAC,BKK,Cisco
3136,IDGHP,RAC_IDGHP21C,CISCO_ASR920CC,,,10.122.18.90,RAC,BKK,Cisco
3137,DLYNM,RAC_DLYNM51C,ciscoNCS540,Loopback0,10.64.4.89,10.124.211.89,RAC,BKK,Cisco
3138,RN46M,RAC_RN46M21C,CISCO_ASR920CC,,,10.122.22.151,RAC,BKK,Cisco
3139,SRC1M,RAC_SRC1M21C,CISCO_ASR920CC,,,10.122.14.27,RAC,BKK,Cisco
3140,WLPOM,RAC_WLPOM21C,CISCO_ASR920CC,,,10.122.27.72,RAC,BKK,Cisco
3141,STAWM,RAC_STAWM21C,CISCO_ASR920CC,,,10.122.27.156,RAC,BKK,Cisco
3142,PB21M,RAC_PB21M21C,CISCO_ASR920CC,,,10.122.13.139,RAC,BKK,Cisco
3143,CBWTM,RAC_CBWTM21C,CISCO_ASR920CC,,,10.122.12.57,RAC,BKK,Cisco
3144,WPPGM,RAC_WPPGM21C,CISCO_ASR920CC,,,10.125.193.235,RAC,BKK,Cisco
3145,ASCDM,RAC_ASCDM01C,CISCO_ASR901_TENGIG_DC_TDM,Loopback0,10.122.73.97,10.124.36.53,RAC,BKK,Cisco
3146,BK10M,RAC_BK10M21C,CISCO_ASR920CC,,,10.122.28.156,RAC,BKK,Cisco
3147,SCSQM,RAC_SCSQM21C,CISCO_ASR920CC,,,10.122.8.89,RAC,BKK,Cisco
3148,SHTHM,RAC_SHTHM21C,CISCO_ASR920CC,,,10.122.71.164,RAC,BKK,Cisco
3149,TW15M,RAC_TW15M51C,ciscoNCS540,Loopback0,10.64.9.142,10.124.216.142,RAC,BKK,Cisco
3150,WSWPM,RAC_WSWPM51C,ciscoNCS540,Loopback0,10.64.2.238,10.124.209.238,RAC,BKK,Cisco
3151,STN2M,RAC_STN2M21C,CISCO_ASR920CC,,,10.122.32.122,RAC,BKK,Cisco
3152,SYMKM,RAC_SYMKM21C,CISCO_ASR920CC,,,10.122.32.105,RAC,BKK,Cisco
3153,R244M,RAC_R244M51C,ciscoNCS540,Loopback0,10.64.10.74,10.124.209.74,RAC,BKK,Cisco
3154,BKGPP,RAC_BKGPP21C,CISCO_ASR920CC,,,10.122.14.141,RAC,BKK,Cisco
3155,VBRTM,RAC_VBRTM21C,CISCO_ASR920CC,,,10.122.28.153,RAC,BKK,Cisco
3156,MRRSP,RAC_MRRSP51C,ciscoNCS540,Loopback0,10.64.6.152,10.124.213.152,RAC,BKK,Cisco
3157,SUPAM,RAC_SUPAM21C,CISCO_ASR920CC,,,10.122.19.88,RAC,BKK,Cisco
3158,BTS4M,RAC_BTS4M21C,CISCO_ASR920CC,,,10.122.66.52,RAC,BKK,Cisco
